item_name,variant,category,subcategory,description,price,half_plate_price,full_plate_price,small_price,medium_price,large_price,price_display
Zimikand Shikampuri Kebab,,Indian,From Our Clay Oven,"A vegetarian Hyderabadi Shikampuri kebab, inventively made with yam and lentils",450,,,,,,
Tandoori Aloo Ke Gutke,,Indian,From Our Clay Oven,"Potatoes stuffed with cottage cheese, nuts and spices baked in the clay oven",400,,,,,,
Achari Paneer Tikka,,Indian,From Our Clay Oven,Cottage cheese delicately marinated with hot and tangy pickled spices and char grilled,550,,,,,,
Paneer Malai Seekh Kebab,,Indian,From Our Clay Oven,"A delicate combination of fresh cottage cheese marinated with Indian herbs & spices, char grilled",550,,,,,,
Tandoori Veg Platter,,Indian,From Our Clay Oven,Assorted vegetable appetizers,1050,,,,,,
Seekh Kebab Gilafi,,Indian,From Our Clay Oven,"Triple minced lamb, roasted whole spices, coloured peppers, mint chutney",900,,,,,,
Tandoori Murgh - Half,,Indian,From Our Clay Oven,"Chicken marinated with hung yoghurt, tandoori masala and cooked in the tandoor",,600,,,,,
Tandoori Murgh - Full,,Indian,From Our Clay Oven,"Chicken marinated with hung yoghurt, tandoori masala and cooked in the tandoor",,,1050,,,,
Cheese Chilly Malai Tikka,,Tandoori,Tandoori,"Cream cheese marinated chicken, royal cumin, mint chutney",650,,,,,,
Punjabi Chicken Tikka,,Tandoori,Tandoori,"Fenugreek scented, Chargrilled Chicken, mint chutney",650,,,,,,
Ajwaini Fish Tikka,,Tandoori,Tandoori,"Fish marinated with tandoori spices, chargrilled",1000,,,,,,
Tandoori Pomfret,,Tandoori,Tandoori,"Whole pomfret, marinated with mild spices and flavoured with carom seeds",1400,,,,,,
Lasooni Malai Jhinga,,Tandoori,Tandoori,Prawns marinated with roasted garlic and char grilled,1400,,,,,,
Tandoori Non-Veg Platter,,Tandoori,Tandoori,"Murgh Tangri kebab, Murgh Malai Tikka, Lamb Seekh Kebab, Achari Fish Tikka",1400,,,,,,
Lasooni Tandoori Lobster,,Tandoori,Tandoori,"Lobster flavoured with rich spices, finished in clay oven",2250,,,,,,
Indian Paneer with Gravy of Your Choice - Khatta Pyaaz,,Mains,Mains,,650,,,,,,
Indian Paneer with Gravy of Your Choice - Soufiyani,,Mains,Mains,,650,,,,,,
Indian Paneer with Gravy of Your Choice - Makhani,,Mains,Mains,,650,,,,,,
Indian Paneer with Gravy of Your Choice - Palak,,Mains,Mains,,650,,,,,,
Indian Paneer with Gravy of Your Choice - Kurchan,,Mains,Mains,,650,,,,,,
Indian Paneer with Gravy of Your Choice - Shahi,,Mains,Mains,,650,,,,,,
Indian Paneer with Gravy of Your Choice - Korma,,Mains,Mains,,650,,,,,,
Indian Paneer with Gravy of Your Choice - Kadhai,,Mains,Mains,,650,,,,,,
Indian Paneer with Gravy of Your Choice - Jalfrezi,,Mains,Mains,,650,,,,,,
Indian Paneer with Gravy of Your Choice - Lababdar,,Mains,Mains,,650,,,,,,
Indian Paneer with Gravy of Your Choice - Butter Masala,,Mains,Mains,,650,,,,,,
Indian Paneer with Gravy of Your Choice - Home Style,,Mains,Mains,,650,,,,,,
Indian Vegetables with Gravy of Your Choice - Khatta Pyaaz,,Mains,Mains,,650,,,,,,
Indian Vegetables with Gravy of Your Choice - Soufiyani,,Mains,Mains,,650,,,,,,
Indian Vegetables with Gravy of Your Choice - Makhani,,Mains,Mains,,650,,,,,,
Indian Vegetables with Gravy of Your Choice - Palak,,Mains,Mains,,650,,,,,,
Indian Vegetables with Gravy of Your Choice - Kurchan,,Mains,Mains,,650,,,,,,
Indian Vegetables with Gravy of Your Choice - Shahi,,Mains,Mains,,650,,,,,,
Indian Vegetables with Gravy of Your Choice - Korma,,Mains,Mains,,650,,,,,,
Indian Vegetables with Gravy of Your Choice - Kadhai,,Mains,Mains,,650,,,,,,
Indian Vegetables with Gravy of Your Choice - Jalfrezi,,Mains,Mains,,650,,,,,,
Indian Vegetables with Gravy of Your Choice - Lababdar,,Mains,Mains,,650,,,,,,
Indian Vegetables with Gravy of Your Choice - Butter Masala,,Mains,Mains,,650,,,,,,
Indian Vegetables with Gravy of Your Choice - Home Style,,Mains,Mains,,650,,,,,,
Mushroom Mutter,,Mains,Mains,Mushrooms and Green peas cooked in onion tomato masala,650,,,,,,
Paneer Palak Ke Kofte Lajawab,,Mains,Mains,Cottage cheese dumplings wrapped in spinach topped with rich cashew gravy,650,,,,,,
Aloo Subz Milan - Fenugreek,,Mains,Mains,Potato semi-dried homestyle lightly spiced preparation,550,,,,,,
Aloo Subz Milan - Cauliflower,,Mains,Mains,Potato semi-dried homestyle lightly spiced preparation,550,,,,,,
Aloo Subz Milan - Green Peas,,Mains,Mains,Potato semi-dried homestyle lightly spiced preparation,550,,,,,,
Goan Curry - Pomfret,,Mains,Mains,"Red chillies, coconut gravy, goan spices",1400,,,,,,
Goan Curry - Surmai,,Mains,Mains,"Red chillies, coconut gravy, goan spices",1400,,,,,,
Goan Curry - Prawns,,Mains,Mains,"Red chillies, coconut gravy, goan spices",1400,,,,,,
Lobster Tawa Masala,,Mains,Mains,Lobster cooked in Indian style aromatic curry,2250,,,,,,
Classic Butter Chicken,,Main Course,Main Course,"Shredded Chicken Tikka, creamy tomato gravy, kasuri methi",750,,,,,,
Murgh Lababdar,,Main Course,Main Course,"Rich, simmered chicken dish",750,,,,,,
Champaran Chicken,,Main Course,Main Course,Rustic Chicken Curry from Magadha,750,,,,,,
Nalli Rogan Josh,,Main Course,Main Course,"Kashmiri lamb speciality, lamb shanks cooked in red chilli paste, onions and yoghurt",1050,,,,,,
Mutton Pepper Fry,,Main Course,Main Course,"Dry preparation of lamb, tossed with dry coconut and onion masala, predominant flavour of black pepper",1050,,,,,,
Railway Mutton Curry,,Main Course,Main Course,Anglo Indian style curry with diced potatoes,1050,,,,,,
Subz 'Dum Ki' Biryani,,Biryani,Biryani,"Lightly spiced local vegetables, saffron, basmati rice, burani raita",650,,,,,,
Paneer Chana Biryani,,Biryani,Biryani,"Lightly spiced Cottage Cheese and Chickpeas, saffron, basmati rice, burani raita",650,,,,,,
Dum Biryani - Mutton,,Biryani,Biryani,"Mild spices, yoghurt, saffron, basmati rice, burani raita",1100,,,,,,
Dum Biryani - Chicken,,Biryani,Biryani,"Mild spices, yoghurt, saffron, basmati rice, burani raita",900,,,,,,
Malabar Prawn Biryani,,Biryani,Biryani,"Aromatic rice flavoured with coconut infused prawns, raita",1500,,,,,,
Dal - Palak,,Staples,Staples,,525,,,,,,
Dal - Tadka,,Staples,Staples,,525,,,,,,
Dal - Fry,,Staples,Staples,,525,,,,,,
Dal - Plain,,Staples,Staples,,525,,,,,,
Dal - Dhabe Wali,,Staples,Staples,,525,,,,,,
Dal - Makhani,,Staples,Staples,,525,,,,,,
Dal - Dal Khichdi,,Staples,Staples,,525,,,,,,
Rice / Pulao - Peas,,Staples,Staples,,550,,,,,,
Rice / Pulao - Cashew,,Staples,Staples,,550,,,,,,
Rice / Pulao - Jeera Rice,,Staples,Staples,,550,,,,,,
Rice / Pulao - Kashmiri,,Staples,Staples,,550,,,,,,
Rice / Pulao - Corn,,Staples,Staples,,550,,,,,,
Rice / Pulao - Zaffrani,,Staples,Staples,,550,,,,,,
Rice / Pulao - Khushka Rice,,Staples,Staples,,550,,,,,,
Rice / Pulao - Steamed Rice,,Staples,Staples,,550,,,,,,
Plain Curd,,Raita and Papad,Raita and Papad,,180,,,,,,
Boondi Raita,,Raita and Papad,Raita and Papad,,225,,,,,,
Pineapple Raita,,Raita and Papad,Raita and Papad,,225,,,,,,
Mixed Veg Raita,,Raita and Papad,Raita and Papad,,225,,,,,,
Masala Papad,,Raita and Papad,Raita and Papad,,150,,,,,,
Fried Papad,,Raita and Papad,Raita and Papad,,120,,,,,,
Roasted Papad,,Raita and Papad,Raita and Papad,,90,,,,,,
Green Salad,,Raita and Papad,Raita and Papad,,275,,,,,,
Roti - Plain,,Indian Breads,Indian Breads,Whole Wheat bread made in clay oven,90,,,,,,
Roti - Butter,,Indian Breads,Indian Breads,Whole Wheat bread made in clay oven,100,,,,,,
Laccha Paratha,,Indian Breads,Indian Breads,Layered tandoori paratha made of leavened dough topped with sesame seeds,140,,,,,,
Paratha - Plain,,Indian Breads,Indian Breads,Whole wheat bread baked on clay oven on griddle,140,,,,,,
Paratha - Pudina,,Indian Breads,Indian Breads,Whole wheat bread baked on clay oven on griddle,140,,,,,,
Paratha - Methi,,Indian Breads,Indian Breads,Whole wheat bread baked on clay oven on griddle,140,,,,,,
Paratha - Ajwain,,Indian Breads,Indian Breads,Whole wheat bread baked on clay oven on griddle,140,,,,,,
Naan - Butter,,Indian Breads,Indian Breads,Traditional Punjabi Leavened Bread,140,,,,,,
Naan - Garlic,,Indian Breads,Indian Breads,Traditional Punjabi Leavened Bread,140,,,,,,
Naan - Ajwain,,Indian Breads,Indian Breads,Traditional Punjabi Leavened Bread,140,,,,,,
Naan - Cheese,,Indian Breads,Indian Breads,Traditional Punjabi Leavened Bread,140,,,,,,
Kulcha,,Indian Breads,Indian Breads,Clay oven cooked flat bread served plain,140,,,,,,
Stuffed Kulcha - Aloo,,Indian Breads,Indian Breads,,350,,,,,,
Stuffed Kulcha - Paneer,,Indian Breads,Indian Breads,,350,,,,,,
Stuffed Kulcha - Onion,,Indian Breads,Indian Breads,,350,,,,,,
Roomali Roti,,Indian Breads,Indian Breads,Exotic thin Indian flatbread made to perfection,120,,,,,,
Khasta Roti,,Indian Breads,Indian Breads,Crisp Whole Wheat bread made in clay oven,120,,,,,,
Chilli Ramen - Vegetable,,Oriental,Soup,"Noodles in a Japanese style soup topped with a, fresh chill, sliced red onions, bean sprouts, coriander, spring onions and a wedge of lime.",400,,,,,,
Chilli Ramen - Chicken,,Oriental,Soup,"Noodles in a Japanese style soup topped with a, fresh chill, sliced red onions, bean sprouts, coriander, spring onions and a wedge of lime.",450,,,,,,
Hunan Wonton Soup,,Oriental,Soup,Crispy Thai Inspired Chicken Wonton served warm in a basil scented chicken broth,450,,,,,,
All Time Classic - Vegetable,,Oriental,Soup,Sweet Corn / Hot and Sour / Manchow / Lemon Coriander,400,,,,,,
All Time Classic - Chicken,,Oriental,Soup,Sweet Corn / Hot and Sour / Manchow / Lemon Coriander,450,,,,,,
All Time Classic - Prawns,,Oriental,Soup,Sweet Corn / Hot and Sour / Manchow / Lemon Coriander,600,,,,,,
Baby Corn Tempura,,Oriental,Starters,Crispy battered fried babycorn fritters served with Schezwan and mince sauce,550,,,,,,
Water Chestnut and Mushrooms,,Oriental,Starters,tossed with chilli garlic and butter,650,,,,,,
Popiah Spring Rolls - Vegetable,,Oriental,Starters,"Stir fried Vegetables / Chicken, wrapped in chinese filo, light soy sauce, house mince sauce",650,,,,,,
Popiah Spring Rolls - Chicken,,Oriental,Starters,"Stir fried Vegetables / Chicken, wrapped in chinese filo, light soy sauce, house mince sauce",750,,,,,,
Satay - Paneer,,Oriental,Starters,"Spicy grilled batons of cottage Cheese / Chicken on skewers, served with peanut sauce",650,,,,,,
Satay - Chicken,,Oriental,Starters,"Spicy grilled batons of cottage Cheese / Chicken on skewers, served with peanut sauce",750,,,,,,
Kung Pao Chicken,,Oriental,Starters,"Crispy fried Chicken tossed with Hoisin sauce, rice wine, ginger, red chilli and cashewnuts",750,,,,,,
Crispy Garlic Prawns,,Oriental,Starters,Crispy Prawns tossed with golden garlic and chillies,1400,,,,,,
Banana Leaf Wrapped Thai Grilled Fish,,Oriental,Starters,Fillet of fish marinated with Thai chilli spices wrapped in banana leaf and grilled,1100,,,,,,
Black Pepper Chicken,,Oriental,Starters,,750,,,,,,
Vegetables and Water chestnuts,,Dimsums,Dimsums,,600,,,,,,
Ricotta Spinach,,Dimsums,Dimsums,,600,,,,,,
Spicy Thai Chicken,,Dimsums,Dimsums,,700,,,,,,
Black Pepper Chicken,,Dimsums,Dimsums,,700,,,,,,
"Tofu, Baby Corn and Bak Choy - Hot garlic sauce",,Mains,Stir Fried with Your Choice of Sauce,,750,,,,,,
"Tofu, Baby Corn and Bak Choy - Ginger spring onion",,Mains,Stir Fried with Your Choice of Sauce,,750,,,,,,
"Tofu, Baby Corn and Bak Choy - Schezwan",,Mains,Stir Fried with Your Choice of Sauce,,750,,,,,,
"Tofu, Baby Corn and Bak Choy - Black bean sauce",,Mains,Stir Fried with Your Choice of Sauce,,750,,,,,,
"Tofu, Baby Corn and Bak Choy - Hunan",,Mains,Stir Fried with Your Choice of Sauce,,750,,,,,,
Five Treasure Vegetables - Hot garlic sauce,,Mains,Stir Fried with Your Choice of Sauce,,750,,,,,,
Five Treasure Vegetables - Ginger spring onion,,Mains,Stir Fried with Your Choice of Sauce,,750,,,,,,
Five Treasure Vegetables - Schezwan,,Mains,Stir Fried with Your Choice of Sauce,,750,,,,,,
Five Treasure Vegetables - Black bean sauce,,Mains,Stir Fried with Your Choice of Sauce,,750,,,,,,
Five Treasure Vegetables - Hunan,,Mains,Stir Fried with Your Choice of Sauce,,750,,,,,,
Paneer and Coloured Peppers - Hot garlic sauce,,Mains,Stir Fried with Your Choice of Sauce,,750,,,,,,
Paneer and Coloured Peppers - Ginger spring onion,,Mains,Stir Fried with Your Choice of Sauce,,750,,,,,,
Paneer and Coloured Peppers - Schezwan,,Mains,Stir Fried with Your Choice of Sauce,,750,,,,,,
Paneer and Coloured Peppers - Black bean sauce,,Mains,Stir Fried with Your Choice of Sauce,,750,,,,,,
Paneer and Coloured Peppers - Hunan,,Mains,Stir Fried with Your Choice of Sauce,,750,,,,,,
Sliced Chicken - Hot garlic sauce,,Mains,Stir Fried with Your Choice of Sauce,,800,,,,,,
Sliced Chicken - Ginger spring onion,,Mains,Stir Fried with Your Choice of Sauce,,800,,,,,,
Sliced Chicken - Schezwan,,Mains,Stir Fried with Your Choice of Sauce,,800,,,,,,
Sliced Chicken - Black bean sauce,,Mains,Stir Fried with Your Choice of Sauce,,800,,,,,,
Sliced Chicken - Hunan,,Mains,Stir Fried with Your Choice of Sauce,,800,,,,,,
Sliced Fish - Hot garlic sauce,,Mains,Stir Fried with Your Choice of Sauce,,900,,,,,,
Sliced Fish - Ginger spring onion,,Mains,Stir Fried with Your Choice of Sauce,,900,,,,,,
Sliced Fish - Schezwan,,Mains,Stir Fried with Your Choice of Sauce,,900,,,,,,
Sliced Fish - Black bean sauce,,Mains,Stir Fried with Your Choice of Sauce,,900,,,,,,
Sliced Fish - Hunan,,Mains,Stir Fried with Your Choice of Sauce,,900,,,,,,
Prawn - Hot garlic sauce,,Mains,Stir Fried with Your Choice of Sauce,,1400,,,,,,
Prawn - Ginger spring onion,,Mains,Stir Fried with Your Choice of Sauce,,1400,,,,,,
Prawn - Schezwan,,Mains,Stir Fried with Your Choice of Sauce,,1400,,,,,,
Prawn - Black bean sauce,,Mains,Stir Fried with Your Choice of Sauce,,1400,,,,,,
Prawn - Hunan,,Mains,Stir Fried with Your Choice of Sauce,,1400,,,,,,
Vegetable Dumplings in Soya Garlic Sauce,,Mains,Mains,Exotic crispy vegetables dumplings served in Soya Garlic Sauce,750,,,,,,
Nasi Goreng,,Mains,Mains,"Fried rice, chicken satay, fried egg, prawn crackers",1100,,,,,,
Thai Infused Curry - Vegetable - Green,,Mains,Thai Infused Curry,"Thai spices, lemon grass, coconut milk, fresh basil",800,,,,,,
Thai Infused Curry - Vegetable - Red,,Mains,Thai Infused Curry,"Thai spices, lemon grass, coconut milk, fresh basil",800,,,,,,
Thai Infused Curry - Vegetable - Yellow,,Mains,Thai Infused Curry,"Thai spices, lemon grass, coconut milk, fresh basil",800,,,,,,
Thai Infused Curry - Chicken - Green,,Mains,Thai Infused Curry,"Thai spices, lemon grass, coconut milk, fresh basil",900,,,,,,
Thai Infused Curry - Chicken - Red,,Mains,Thai Infused Curry,"Thai spices, lemon grass, coconut milk, fresh basil",900,,,,,,
Charred Tomato and Rosemary Soup,,Continental,Soup,Toasted Bread Crisp,400,,,,,,
Green Pea Veloute,,Continental,Soup,With mint Ricota,400,,,,,,
Minestrone,,Continental,Soup,,400,,,,,,
Roasted Vegetable,,Continental,Soup,,450,,,,,,
Smoked Chicken,,Continental,Soup,,450,,,,,,
Superfood Salad,,Continental,Salads,"Red & White Quinoa, Arugula, Aurgul, toasted Sunflower seeds, Beetroot, Lemon, Olive Vinaigrette",550,,,,,,
Prawn Aztec,,Continental,Salads,Chilled marinated prawns with caper olive dressing with crispy greens,1050,,,,,,
Classic Caesar Salad - Parmesan,,Continental,Salads,,550,,,,,,
Classic Caesar Salad - Grilled Chicken,,Continental,Salads,,750,,,,,,
Healthy Smoked Salmon Tartare,,Continental,Salads,"Scottish smoked salmon tartare with pommery mustard apple salad, raspberry vinaigrette",900,,,,,,
Wild Mushroom & Goats Cheese Pansoti,,Continental,Pasta,"Green pea puree, chive & tomato emulsion.",850,,,,,,
Gnocchi with Walnut and Fetta in a Creamy Mushroom Sauce,,Continental,Pasta,,850,,,,,,
Arabiatta,,Continental,Pasta,The traditional version with your choice of pasta and parmesan shavings,850,,,,,,
Lasagne Vegetariana,,Continental,Pasta,"Home made layered lasagne with pomodoro, seasonal grilled vegetables and gratinated with parmesan",850,,,,,,
"Fettuccini - Broccoli, Mushrooms, Tomato Cream Sauce",,Pasta,Fettuccini,,850,,,,,,
"Fettuccini - Flaked Salmon, Chilli Flakes, Dill Cream Sauce",,Pasta,Fettuccini,,950,,,,,,
Spaghetti Aglio Olio Peperoncino - Grilled Chicken Supreme,,Pasta,Spaghetti,"Tossed in extra virgin olive oil, garlic, chilli flakes and fresh herbs flashed with white wine and parmigiano reggiano",850,,,,,,
Spaghetti Aglio Olio Peperoncino - Grilled Prawns,,Pasta,Spaghetti,"Tossed in extra virgin olive oil, garlic, chilli flakes and fresh herbs flashed with white wine and parmigiano reggiano",950,,,,,,
Spaghetti Aglio Olio Peperoncino - Grilled Prawns Large,,Pasta,Spaghetti,"Tossed in extra virgin olive oil, garlic, chilli flakes and fresh herbs flashed with white wine and parmigiano reggiano",1400,,,,,,
Spaghetti Your Choice - Carbonara,,Pasta,Spaghetti,"Bacon, Parsley, Parmesan, Egg yolk & Cream",950,,,,,,
Spaghetti Your Choice - Bolognaise,,Pasta,Spaghetti,with hand chop meat or chicken ragout,950,,,,,,
Penne Alfredo - Grilled Herb Chicken,,Pasta,Penne,Penne tossed in creamy mushroom sauce with cheese,850,,,,,,
Penne Alfredo - Grilled Prawns,,Pasta,Penne,Penne tossed in creamy mushroom sauce with cheese,950,,,,,,
Penne Alfredo - Grilled Prawns Large,,Pasta,Penne,Penne tossed in creamy mushroom sauce with cheese,1400,,,,,,
Fusilli Pesto - Vegetables,,Pasta,Fusilli,,850,,,,,,
Fusilli Pesto - Chicken,,Pasta,Fusilli,,950,,,,,,
Fusilli Pesto - Prawns,,Pasta,Fusilli,,1400,,,,,,
Creamy Saffron Risotto - Vegetables,,Risotto,Creamy Saffron Risotto,Classic Arborio rice cooked with white wine and saffron finished with cream and cheese,850,,,,,,
Creamy Saffron Risotto - Grilled Chicken,,Risotto,Creamy Saffron Risotto,Classic Arborio rice cooked with white wine and saffron finished with cream and cheese,950,,,,,,
Creamy Saffron Risotto - Pink Salmon,,Risotto,Creamy Saffron Risotto,Classic Arborio rice cooked with white wine and saffron finished with cream and cheese,1200,,,,,,
Creamy Saffron Risotto - Shrimps,,Risotto,Creamy Saffron Risotto,Classic Arborio rice cooked with white wine and saffron finished with cream and cheese,1400,,,,,,
Chicken Tant Marie,,Mains,Mains,"Seared breast of chicken, simmered in white wine mushroom cream sauce, herb rice and winter squash",950,,,,,,
Chicken Scallopini,,Mains,Mains,"Pan fried Grilled chicken with Herb rice, Mashed Potato",950,,,,,,
Grilled Cottage Cheese,,Mains,Mains,"Mesclun mix, garlic wilted spinach, pommes puree, beurre noisette",850,,,,,,
Seabass,,Mains,Mains,"Mesclun mix, garlic wilted spinach, pommes puree, beurre noisette",1050,,,,,,
Fish N Chips,,Mains,Mains,"Classic Crumb fried fish, french fries, tartare sauce",1050,,,,,,
Creamy Polenta Lobster,,Mains,Mains,Gently Grilled Lobster with our home style creamy polenta,2400,,,,,,
Garlic King Prawns,,Mains,Mains,"Herb buttered rice, steamed vegetable, lemon",1500,,,,,,
Grilled Pepper Crust Tenderloin,,Mains,Mains,"Mustard mash, bordelaise jus, spinach salad",1200,,,,,,
Vegetable Moroccan Harira,,Around the World,Morocco,"Hearty vegetarian soup, packed with tomatoes, chickpeas, flavoured with paprika, turmeric, saffron, ginger and harissa",550,,,,,,
Moroccan Chicken with Saffron and Preserved Lemon,,Around the World,Morocco,"Chicken Leg spiced with mediterranean spices, accompanied with Olives, Bellpeppers, Garlic and Tomatoes",950,,,,,,
French Onion Soup,,Around the World,France,"Soup with veg or meat stock and onions, served with larger piece of bread covered with cheese floating on top.",550,,,,,,
Coq au Vin,,Around the World,France,"Chicken braised in red wine with a little brandy, served with mushrooms and burnished pearl onions",950,,,,,,
Greek Salad,,Around the World,Greece,"Mesclun mix, feta, peppers, tomato, red onion, cucumber, kalamata olives, oregano dressing",650,,,,,,
Moussaka - Vegetable,,Around the World,Greece,Layered oven casserole dish made with vegetables,850,,,,,,
Moussaka - Chicken,,Around the World,Greece,Layered oven casserole dish made with chicken,950,,,,,,
Mezzeh Platter,,Lebanon,Lebanon,"Hummus, Tabouleh, Baba Ganoush, Moutabal, Marinated Olives with Grilled Pita",550,,,,,,
Shish Tawook,,Lebanon,Lebanon,A speciality of char-grilled chicken cooked on skewers from Tripoli,950,,,,,,
Manti,,Turkey,Turkey,"Turkish Dumplings with Corn spinach and feta tossed in Bravo Sauce, gratinated with cheddar",550,,,,,,
Imam Bayildi,,Turkey,Turkey,"A Turkish delicacy where whole eggplant is stuffed with onion, tomatoes and garlic, and simmered in olive oil.",850,,,,,,
Bangers and Mash,,England,England,"Chicken Sausages and Mash potatoes, finished with sauteed onions and demi glaze",950,,,,,,
Scotch Eggs,,England,England,"A traditional Scotch Egg where boiled egg is coated in lamb meat, with an outer crust of breadcrumbs.",950,,,,,,
Gazpacho,,Spain,Spain,"Cold soup, made with uncooked mixture of tomatoes, garlic, olive oil, water, vinegar, onions, cucumbers, green peppers, thickened with bread crumbs.",550,,,,,,
Spanish Paella - Vegetables,,Spain,Spain,"Spanish rice, cooked with saffron, vegetables",950,,,,,,
